Model,Accuracy,K-Fold Mean Accuracy,Std.Deviation,ROC_AUC,Precision,Recall,F1 Score
Logistic Regression,94.96086105675147,95.79383209594518,0.4349062100363784,0.5,0.0,0.0,0.0
SVC,94.96086105675147,95.79383209594518,0.4349062100363784,0.5,0.0,0.0,0.0
RandomForest,94.86301369863014,95.30363601751381,0.5853635318791904,0.49948480164863474,0.0,0.0,0.0
XGBClassifier,94.47162426614481,94.9143346659052,1.2883320986276852,0.5112143175122422,0.1875,0.02912621359223301,0.05042016806722689
AdaBoostClassifier,94.42270058708415,94.71635256044163,1.1753892633910972,0.5178518729710938,0.225,0.043689320388349516,0.07317073170731708
KNeigbors,94.30039138943248,95.6948410432134,0.998649447217434,0.5057159506409968,0.11428571428571428,0.019417475728155338,0.03319502074688796
DecisionTree,90.99804305283757,91.29354654483153,1.914655410769592,0.5319973189678026,0.11057692307692307,0.11165048543689321,0.1111111111111111
GaussianNB,87.25538160469667,86.30496858937751,3.883420024431799,0.6501940747187667,0.17255717255717257,0.4029126213592233,0.2416302765647744
